TRACK_SK,TRACK_ID,TRACK_TITLE,IS_CAREER_FLAG,PROGRAMMING_LANGUAGE_SK,PREDOMINANT_DIFFICULTY_SK,RAW_COURSE_DIFFICULTY_LEVELS,RAW_COURSE_TITLES,RAW_INSTRUCTORS,RAW_PROGRAMMING_LANGUAGES
1,1,AI Agent Fundamentals,false,2,1,1,"Building Scalable Agentic Systems,Generative AI for Business,Introduction to AI Agents","Adel Nehme,Carl Rosseel,Korey Stegared-Pace","python,r"
2,2,AI Business Fundamentals,false,1,1,1,"AI Ethics,Artificial Intelligence (AI) Strategy,Generative AI for Business,Implementing AI Solutions in Business,Large Language Models for Business,Understanding Artificial Intelligence,Understanding ChatGPT","Carl Rosseel,Iason Prassides,Iván P.C.,Jacob Marquez,James Chapman,Joe Franklin,Vidhi Chugh",r
3,3,AI Fundamentals,false,1,1,1,"AI Ethics,Generative AI Concepts,Large Language Models (LLMs) Concepts,Understanding Artificial Intelligence,Understanding ChatGPT,Understanding Machine Learning","Daniel Tedesco,Hadrien Lacroix,Iván P.C.,James Chapman,Joe Franklin,Lis Sulmont,Sara Billen,Vidhi Chugh",r
4,4,AWS Cloud Practitioner (CLF-C02),false,1,1,1,"AWS Cloud Technology and Services Concepts,AWS Concepts,AWS Security and Cost Management Concepts,Understanding Cloud Computing","Amar Suchak,Dev Bhosale,Lis Sulmont,Rahulraj Singh,Sara Billen",r
5,5,Alteryx Fundamentals,false,2,1,1,"Data Manipulation in Alteryx,Data Preparation in Alteryx,Data Transformation in Alteryx,Introduction to Alteryx","Behrang Behjoo,Deanna Sanchez,Iason Prassides,Joshua Honken",python
6,6,Analyzing Genomic Data in R,false,1,2,"2,3","ChIP-seq with Bioconductor in R,Differential Expression Analysis with limma in R,Introduction to Bioconductor in R,RNA-Seq with Bioconductor in R","James Chapman,John Blischak,Mary Piper,Paula Martinez,Peter Humburg",r
7,7,Applied Finance in Python,false,2,2,"2,3","Credit Risk Modeling in Python,GARCH Models in Python,Introduction to Portfolio Risk Management in Python,Quantitative Risk Management in Python","Chelsea Yang,Dakota Wixom,Jamsheed Shorish,Michael Crabtree",python
8,8,Applied Finance in R,false,1,2,"1,2,3","Bond Valuation and Analysis in R,Credit Risk Modeling in R,Equity Valuation in R,Financial Trading in R,GARCH Models in R,Quantitative Risk Management in R","Alexander J. McNeil,Clifford Ang,Ilya Kipnis,Kris Boudt,Lore Dirick",r
9,9,Applied Statistics in Python,false,2,2,"2,3","A/B Testing in Python,Bayesian Data Analysis in Python,Experimental Design in Python,Foundations of Inference in Python","James Chapman,Michał Oleszak,Moe Lotfy,Paul Savala,PhD",python
10,10,Artificial Intelligence (AI) Leadership,false,1,1,1,"AI Security and Risk Management,Explainable Artificial Intelligence (XAI) Concepts,Monetizing Artificial Intelligence,Responsible AI Practices","Angeline Corvaglia,Esther Montoya van Egerschot,Folkert Stijnman,Vin Vashishta",r
11,11,Associate AI Engineer for Data Scientists,true,2,2,"1,2,3","Explainable AI in Python,Intermediate Deep Learning with PyTorch,Introduction to Deep Learning with PyTorch,Introduction to Git,Introduction to LLMs in Python,Introduction to Testing in Python,MLOps Concepts,Responsible AI Data Management,Software Engineering Principles in Python,Supervised Learning with scikit-learn,Unsupervised Learning in Python,Working with Hugging Face,Working with Llama 3","Adam Spannbauer,Alexander Levin,Benjamin Wilson,Folkert Stijnman,Fouad Trad,George Boorman,Imtihan Ahmed,Iván P.C.,Jacob Marquez,Jasmin Ludolf,Maria Prokofieva,Michał Oleszak,Thomas Hossler","python,r,shell"
12,12,Associate AI Engineer for Developers,true,2,1,"1,2","Developing AI Systems with the OpenAI API,Developing LLM Applications with LangChain,Introduction to Embeddings with the OpenAI API,LLMOps Concepts,Prompt Engineering with the OpenAI API,Software Engineering Principles in Python,Vector Databases for Embeddings with Pinecone,Working with Hugging Face,Working with the OpenAI API","Adam Spannbauer,Eduardo Oliveira,Emmanuel Pire,Fouad Trad,Francesca Donadoni,Jacob Marquez,James Chapman,Jonathan Bennion,Max Knobbout,Ryan Ong","python,r"
13,13,Associate Data Analyst in SQL,true,1,1,"1,2","Data Communication Concepts,Data Manipulation in SQL,Exploratory Data Analysis in SQL,Functions for Manipulating Data in PostgreSQL,Intermediate SQL,Introduction to SQL,Introduction to Statistics,Joining Data in SQL,PostgreSQL Summary Stats and Window Functions,Understanding Data Visualization","Brian Piccolo,Christina Maimone,Fernando Gonzalez Prada,George Boorman,Hadrien Lacroix,Izzy Weber,Jasmin Ludolf,Maham Khan,Michel Semaan,Mona Khalil,Richie Cotton","r,sql"
14,14,Associate Data Engineer in SQL,true,1,1,"1,2","Data Warehousing Concepts,Database Design,Intermediate SQL,Introduction to Relational Databases in SQL,Introduction to SQL,Introduction to Snowflake SQL,Joining Data in SQL,Understanding Data Engineering,Understanding Data Visualization","Aaren Stubberfield,George Boorman,Hadrien Lacroix,Izzy Weber,Jasmin Ludolf,Lis Sulmont,Maham Khan,Richie Cotton,Timo Grossenbacher","r,sql"
15,15,Associate Data Engineer in Snowflake,true,3,1,"1,2","Data Manipulation in Snowflake,Database Design,Intermediate SQL,Introduction to Data Modeling in Snowflake,Introduction to SQL,Introduction to Snowflake,Introduction to Snowflake SQL,Joining Data in SQL","Danny Hong,George Boorman,Izzy Weber,Jake Roach,Jasmin Ludolf,Lis Sulmont,Maham Khan,Margarita Torres",sql
16,16,Associate Data Scientist  in Python,true,2,2,"1,2","Cleaning Data in Python,Data Communication Concepts,Data Manipulation with pandas,Experimental Design in Python,Exploratory Data Analysis in Python,Hypothesis Testing in Python,Intermediate Python,Introduction to Data Visualization with Matplotlib,Introduction to Data Visualization with Seaborn,Introduction to Functions in Python,Introduction to Importing Data in Python,Introduction to Python,Introduction to Regression with statsmodels in Python,Introduction to Statistics in Python,Joining Data with pandas,Machine Learning with Tree-Based Models in Python,Python Toolbox,Sampling in Python,Supervised Learning with scikit-learn,Unsupervised Learning in Python,Working with Categorical Data in Python,Working with Dates and Times in Python,Writing Functions in Python","Aaren Stubberfield,Adel Nehme,Ariel Rokem,Benjamin Wilson,DataCamp Content Creator,Elie Kawerk,George Boorman,Hadrien Lacroix,Hugo Bowne-Anderson,Izzy Weber,James Chapman,Kasey Jones,Maarten Van den Broeck,Maggie Matsui,Richie Cotton,Shayne Miel","python,r"
17,17,Associate Data Scientist in R,true,1,2,"1,2","Cleaning Data in R,Data Communication Concepts,Data Manipulation with dplyr,Experimental Design in R,Exploratory Data Analysis in R,Hypothesis Testing in R,Intermediate Data Visualization with ggplot2,Intermediate R,Intermediate Regression in R,Introduction to Data Visualization with ggplot2,Introduction to Importing Data in R,Introduction to R,Introduction to Regression in R,Introduction to Statistics in R,Introduction to Writing Functions in R,Introduction to the Tidyverse,Joining Data with dplyr,Sampling in R,Supervised Learning in R: Classification,Supervised Learning in R: Regression,Unsupervised Learning in R,Working with Dates and Times in R","Andrew Bray,Brett Lantz,Charlotte Wickham,DataCamp Content Creator,David Robinson,Filip Schouwenaars,Hadrien Lacroix,Hank Roark,James Chapman,Joanne Xiong,John Mount,Jonathan Cornelissen,Maggie Matsui,Nina Zumel,Richie Cotton,Rick Scavetta",r
18,18,Associate Python Developer,true,2,1,"1,2","Data Types in Python,Intermediate Python for Developers,Introduction to Object-Oriented Programming in Python,Introduction to Python for Developers,Introduction to Shell,Python Toolbox,Regular Expressions in Python,Working with Dates and Times in Python","DataCamp Content Creator,Filip Schouwenaars,George Boorman,Hugo Bowne-Anderson,Jason Myers,Maria Eugenia Inzaugarat","python,shell"
